delta_E_GeV,delta_mass_GeV,delta_pt_GeV,delta_pt_relative,delta_px_GeV,delta_py_GeV,delta_pz_GeV,event,h2_ordinal,mode
0.0,0.0,0.0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,77,1,D0
0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.0,78,0,D0
-2.842170943040401e-14,-2.842170943040401e-14,0.0,0.0,7.105427357601002e-15,0.0,0.0,78,1,D0
0.0,2.842170943040401e-14,0.0,0.0,0.0,3.552713678800501e-15,0.0,79,0,D0
0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,79,1,D0
0.0,1.1368683772161603e-13,0.0,0.0,0.0,0.0,-5.684341886080802e-14,80,0,D0
0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,80,1,D0
0.0,0.0,-2.842170943040401e-14,-3.744089152756541e-16,-7.105427357601002e-15,1.4210854715202004e-14,-2.842170943040401e-14,81,0,D0
0.0,0.0,-1.4210854715202004e-14,-1.8720445763782704e-16,-7.105427357601002e-15,-1.4210854715202004e-14,-7.105427357601002e-15,81,1,D0
-2.842170943040401e-14,0.0,-1.4210854715202004e-14,-1.719726795968836e-16,-1.4210854715202004e-14,5.329070518200751e-15,7.105427357601002e-15,82,0,D0
0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,82,1,D0
0.0,0.0,1.4210854715202004e-14,1.1511113406825612e-16,1.0658141036401503e-14,1.4210854715202004e-14,0.0,83,0,D0
0.0,5.684341886080801e-13,-2.842170943040401e-14,-2.3022226813651225e-16,-3.552713678800501e-15,2.842170943040401e-14,1.1368683772161603e-13,83,1,D0
-2.842170943040401e-14,0.0,0.0,0.0,-3.552713678800501e-15,5.329070518200751e-15,0.0,84,0,D0
0.0,-1.1368683772161603e-13,0.0,0.0,3.552713678800501e-15,-5.329070518200751e-15,-5.684341886080802e-14,84,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,0,D0
5.684341886080802e-14,5.684341886080802e-14,0.0,0.0,5.329070518200751e-15,0.0,0.0,85,1,D0
-2.842170943040401e-14,0.0,-7.105427357601002e-15,-1.3074033896389938e-16,3.552713678800501e-15,0.0,2.842170943040401e-14,86,0,D0
-5.684341886080802e-14,-5.684341886080802e-14,0.0,0.0,3.552713678800501e-15,0.0,0.0,86,1,D0
-2.842170943040401e-14,0.0,7.105427357601002e-15,1.496647916651287e-16,0.0,-7.105427357601002e-15,7.105427357601002e-15,87,0,D0
-5.684341886080802e-14,-5.684341886080802e-14,-7.105427357601002e-15,-1.496647916651287e-16,3.552713678800501e-15,-7.105427357601002e-15,0.0,87,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,0,D0
0.0,-5.968558980384842e-13,0.0,0.0,-5.684341886080802e-14,0.0,1.1368683772161603e-13,88,1,D0
2.842170943040401e-14,2.842170943040401e-14,1.4210854715202004e-14,1.1216699415506196e-16,-1.4210854715202004e-14,0.0,-3.552713678800501e-15,89,0,D0
0.0,-5.684341886080802e-14,0.0,0.0,0.0,0.0,-5.684341886080802e-14,89,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,0,D0
0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,90,1,D0
0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,1.4210854715202004e-14,91,0,D0
0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,91,1,D0
-5.684341886080802e-14,-5.684341886080802e-14,0.0,0.0,3.552713678800501e-15,0.0,0.0,92,0,D0
0.0,0.0,-1.4210854715202004e-14,-2.7655127842029075e-16,-3.552713678800501e-15,1.4210854715202004e-14,0.0,92,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,0,D0
0.0,0.0,-1.4210854715202004e-14,-1.5321130873499162e-16,0.0,1.4210854715202004e-14,0.0,93,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,0,D0
0.0,3.126388037344441e-13,-2.842170943040401e-14,-1.4582489219020466e-16,0.0,2.842170943040401e-14,0.0,94,1,D0
0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,95,0,D0
-5.684341886080802e-14,-1.4210854715202004e-13,0.0,0.0,0.0,0.0,0.0,95,1,D0
0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,96,0,D0
0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-15,1.4210854715202004e-14,96,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,97,0,D0
0.0,-2.842170943040401e-14,1.4210854715202004e-14,1.4286040283063098e-16,0.0,-1.4210854715202004e-14,2.842170943040401e-14,97,1,D0
0.0,1.7053025658242404e-13,-2.842170943040401e-14,-1.977734091780574e-16,0.0,1.4210854715202004e-14,5.684341886080802e-14,98,0,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,99,0,D0
0.0,0.0,0.0,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,-7.105427357601002e-15,99,1,D0
5.684341886080802e-14,-5.684341886080802e-14,0.0,0.0,0.0,0.0,5.684341886080802e-14,100,0,D0
5.684341886080802e-14,1.1368683772161603e-13,0.0,0.0,0.0,0.0,-2.842170943040401e-14,100,1,D0
-2.842170943040401e-14,-2.842170943040401e-14,0.0,0.0,0.0,0.0,0.0,1,0,D1
2.842170943040401e-14,2.842170943040401e-14,0.0,0.0,1.7763568394002505e-15,0.0,7.105427357601002e-15,1,1,D1
0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,-6.106226635438361e-15,2,0,D1
-2.842170943040401e-14,-2.842170943040401e-14,0.0,0.0,-8.881784197001252e-16,0.0,0.0,2,1,D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,D1
0.0,-3.126388037344441e-13,-1.4210854715202004e-14,-1.2861018253488552e-16,1.4210854715202004e-14,0.0,-1.1368683772161603e-13,3,1,D1
-2.842170943040401e-14,-2.842170943040401e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,4,0,D1
0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,4,1,D1
-2.842170943040401e-14,-2.842170943040401e-14,0.0,0.0,0.0,0.0,0.0,5,0,D1
0.0,2.842170943040401e-14,-2.842170943040401e-14,-1.5132168948200161e-16,0.0,-2.842170943040401e-14,2.842170943040401e-14,5,1,D1
2.2737367544323206e-13,2.3305801732931286e-12,1.4210854715202004e-14,1.9901553533901417e-16,-3.552713678800501e-15,7.105427357601002e-15,0.0,6,0,D1
-5.684341886080802e-14,-5.684341886080802e-14,-2.842170943040401e-14,-4.422557075334777e-16,2.842170943040401e-14,-8.881784197001252e-16,0.0,6,1,D1
-2.842170943040401e-14,-2.842170943040401e-14,0.0,0.0,0.0,3.6637359812630166e-15,-1.4210854715202004e-14,7,0,D1
5.684341886080802e-14,8.526512829121202e-14,-3.552713678800501e-15,-1.603412757126141e-16,0.0,-3.552713678800501e-15,0.0,7,1,D1
0.0,0.0,-2.842170943040401e-14,-2.361099487543943e-16,-2.842170943040401e-14,-7.105427357601002e-15,0.0,8,0,D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,D1
0.0,0.0,1.4210854715202004e-14,1.4943785892074755e-16,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,9,0,D1
0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,9,1,D1
2.842170943040401e-14,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,10,0,D1
0.0,0.0,-7.105427357601002e-15,-2.8131636417533375e-16,-7.105427357601002e-15,-1.7763568394002505e-15,0.0,10,1,D1
2.842170943040401e-14,0.0,1.4210854715202004e-14,1.3828526642593564e-16,-2.6645352591003757e-15,-1.4210854715202004e-14,1.4210854715202004e-14,11,0,D1
0.0,2.842170943040401e-14,0.0,0.0,1.4210854715202004e-14,2.842170943040401e-14,0.0,11,1,D1
0.0,5.684341886080802e-14,-5.684341886080802e-14,-1.3327199584667978e-16,-5.684341886080802e-14,0.0,0.0,12,0,D1
-5.684341886080802e-14,-8.526512829121202e-14,0.0,0.0,0.0,-2.842170943040401e-14,2.842170943040401e-14,12,1,D1
0.0,-2.842170943040401e-14,2.842170943040401e-14,2.137069192184487e-16,0.0,7.105427357601002e-15,-2.842170943040401e-14,13,0,D1
0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,13,1,D1
0.0,2.842170943040401e-14,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,14,0,D1
0.0,0.0,1.4210854715202004e-14,1.3077472193682558e-16,-3.552713678800501e-15,-1.4210854715202004e-14,0.0,14,1,D1
0.0,0.0,1.4210854715202004e-14,1.551953748595173e-16,7.105427357601002e-15,0.0,0.0,15,0,D1
0.0,0.0,1.4210854715202004e-14,2.2079808014650526e-16,-7.105427357601002e-15,0.0,1.4210854715202004e-14,15,1,D1
0.0,0.0,-1.4210854715202004e-14,-1.223033271276885e-16,1.4210854715202004e-14,-7.105427357601002e-15,0.0,16,0,D1
0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,16,1,D1
